material,electron_density,electron_temperature_ev,heat_flux,surface_delta_t,surface_temperature_gradient,marangoni_shear,surface_velocity,mean_velocity
Li,1.377972359833554e+19,2.828600681137559,507085.45220962976,5.583950516395107,279.19752581975536,-0.027919752581975536,-0.12408778925322461,-0.062043894626612306
Li,1.460686320364986e+19,2.828600681137559,537523.6868961345,5.919131885837352,295.9565942918676,-0.02959565942918676,-0.13153626412971894,-0.06576813206485947
Li,1.548365256585496e+19,2.828600681137559,569789.0024558799,6.274432801484623,313.7216400742311,-0.03137216400742311,-0.1394318400329916,-0.0697159200164958
Li,1.6413071953751267e+19,2.828600681137559,603991.0709691211,6.651060956175484,332.5530478087742,-0.03325530478087742,-0.1478013545816774,-0.0739006772908387
Li,1.7398280529303622e+19,2.828600681137559,640246.1476758204,7.05029653553623,352.5148267768115,-0.035251482677681155,-0.1566732563452496,-0.0783366281726248
Li,1.8442627085855328e+19,2.828600681137559,678677.4661353981,7.473496569422016,373.6748284711008,-0.037367482847110084,-0.16607770154271148,-0.08303885077135574
Li,1.9549661430912594e+19,2.828600681137559,719415.6571062796,7.922099544556897,396.1049772278448,-0.039610497722784486,-0.17604665654570884,-0.08802332827285442
Li,2.0723146452190294e+19,2.828600681137559,762599.1925690451,8.39763029405154,419.88151470257696,-0.041988151470257695,-0.18661400653447865,-0.09330700326723933
Li,2.1967070907932353e+19,2.828600681137559,808374.8564024454,8.901705180418375,445.0852590209187,-0.044508525902091874,-0.1978156706759639,-0.09890783533798195
Li,2.3285662984981967e+19,2.828600681137559,856898.2433121437,9.436037589701609,471.80187948508046,-0.04718018794850805,-0.20968972421559132,-0.10484486210779566
Li,2.468340467068651e+19,2.828600681137559,908334.2877080817,10.002443755397097,500.12218776985486,-0.05001221877698549,-0.2222765278977133,-0.11113826394885665
Li,2.6165046987488236e+19,2.828600681137559,962857.8243281543,10.60284893195791,530.1424465978955,-0.05301424465978955,-0.23561886515462022,-0.11780943257731011
Li,2.773562614198418e+19,2.828600681137559,1020654.1825137996,11.239293938869828,561.9646969434914,-0.05619646969434914,-0.24976208753044063,-0.12488104376522031
Li,2.9400480643347137e+19,2.828600681137559,1081919.8161574854,11.913942097540541,595.6971048770271,-0.05956971048770271,-0.2647542688342343,-0.13237713441711715
Li,3.1165269449294365e+19,2.828600681137559,1146862.9714633243,12.629086584581458,631.4543292290729,-0.0631454329229073,-0.2806463685462547,-0.14032318427312734
