material,electron_density,electron_temperature_ev,heat_flux,retained_heat_flux,semi_infinite_delta_t,lumped_delta_t,thermal_regime
Li,4.5522682755073096e+18,2.9721969969364097,180437.75589769502,180437.75589769502,1.986954064313373,0.4296137045183215,transient-slab
Li,4.825522042741279e+18,2.9721969969364097,191268.68535226324,191268.68535226324,2.106222668564068,0.45540163179110293,transient-slab
Li,5.115178099293145e+18,2.9721969969364097,202749.75054070933,202749.75054070933,2.232650472020923,0.48273750128740317,transient-slab
Li,5.422221006501592e+18,2.9721969969364097,214919.9764122991,214919.9764122991,2.366667211693066,0.5117142295530931,transient-slab
Li,5.747694424835359e+18,2.9721969969364097,227820.73042200253,227820.73042200253,2.50872841991836,0.5424303105285775,transient-slab
Li,6.092704661368687e+18,2.9721969969364097,241495.86314138712,241495.86314138712,2.659316972749908,0.574990150336636,transient-slab
Li,6.458424430196991e+18,2.9721969969364097,255991.8573097996,255991.8573097996,2.8189447312857703,0.6095044221661896,transient-slab
Li,6.846096838574672e+18,2.9721969969364097,271357.98583247064,271357.98583247064,2.9881542815208877,0.6460904424582634,transient-slab
Li,7.257039612324231e+18,2.9721969969364097,287646.4792625907,287646.4792625907,3.1675207786350996,0.684872569672835,transient-slab
Li,7.692649574879161e+18,2.9721969969364097,304912.70333663904,304912.70333663904,3.357653901986109,0.7259826269919978,transient-slab
Li,8.154407395185187e+18,2.9721969969364097,323215.34716642194,323215.34716642194,3.559199927452566,0.7695603503962427,transient-slab
Li,8.643882620598297e+18,2.9721969969364097,342616.6227274976,342616.6227274976,3.7728439241713003,0.8157538636368991,transient-slab
Li,9.162739011886769e+18,2.9721969969364097,363182.476322063,363182.476322063,3.9993120831355715,0.8647201817191977,transient-slab
Li,9.712740198471207e+18,2.9721969969364097,384982.81273508025,384982.81273508025,4.239374185569404,0.916625744607334,transient-slab
Li,1.0295755673125085e+19,2.9721969969364097,408091.73284556123,408091.73284556123,4.493846219468157,0.971646982965622,transient-slab
Li,1.0913767146512693e+19,2.9721969969364097,432587.78550068755,432587.78550068755,4.763593153199333,1.02997091785878,transient-slab
Li,1.1568875283162786e+19,2.9721969969364097,458554.23450885597,458554.23450885597,5.049531875590778,1.0917957964496572,transient-slab
Li,1.2263306841775593e+19,2.9721969969364097,486079.34165924025,486079.34165924025,5.352634312500523,1.157331765855334,transient-slab
Li,1.2999422244132422e+19,2.9721969969364097,515256.6667298268,515256.6667298268,5.673930730461211,1.2268015874519687,transient-slab
Li,1.377972359833554e+19,2.9721969969364097,546185.3855036895,546185.3855036895,6.014513238628599,1.3004413940564037,transient-slab
Li,1.460686320364986e+19,2.9721969969364097,578970.6268744629,578970.6268744629,6.3755395009375135,1.378501492558245,transient-slab
Li,1.548365256585496e+19,2.9721969969364097,613723.8301868553,613723.8301868553,6.758236671083094,1.461247214730608,transient-slab
Li,1.6413071953751267e+19,2.9721969969364097,650563.1240268322,650563.1240268322,7.163905563702656,1.548959819111505,transient-slab
Li,1.7398280529303622e+19,2.9721969969364097,689613.727749,689613.727749,7.593925075936256,1.6419374470214285,transient-slab
Li,1.8442627085855328e+19,2.9721969969364097,731008.3771060121,731008.3771060121,8.049756874395198,1.7404961359666955,transient-slab
Li,1.9549661430912594e+19,2.9721969969364097,774887.7754267419,774887.7754267419,8.532950363469807,1.8449708938731952,transient-slab
Li,2.0723146452190294e+19,2.9721969969364097,821401.071876809,821401.071876809,9.045147951864077,1.955716837801926,transient-slab
Li,2.1967070907932353e+19,2.9721969969364097,870706.3684270976,870706.3684270976,9.588090635258554,2.073110401016899,transient-slab
Li,2.3285662984981967e+19,2.9721969969364097,922971.2572534923,922971.2572534923,10.16362391407727,2.1975506125083153,transient-slab
Li,2.468340467068651e+19,2.9721969969364097,978373.3903944887,978373.3903944887,10.773704066473687,2.3294604533202112,transient-slab
Li,2.6165046987488236e+19,2.9721969969364097,1037101.0836029851,1037101.0836029851,11.420404797857932,2.469288294292822,transient-slab
Li,2.773562614198418e+19,2.9721969969364097,1099353.9564447918,1099353.9564447918,12.105924289567545,2.617509420106647,transient-slab
Li,2.9400480643347137e+19,2.9721969969364097,1165343.6108195947,1165343.6108195947,12.83259267064069,2.7746276448085587,transient-slab
Li,3.1165269449294365e+19,2.9721969969364097,1235294.3502107183,1235294.3502107183,13.60287993808888,2.9411770243112345,transient-slab
Li,3.303599120128346e+19,2.9721969969364097,1309443.9421084628,1309443.9421084628,14.419404352590773,3.117723671686816,transient-slab
Li,3.50190046143172e+19,2.9721969969364097,1388044.4261985535,1388044.4261985535,15.28494133814469,3.3048676814251277,transient-slab
Li,3.712105009066372e+19,2.9721969969364097,1471362.9710627839,1471362.9710627839,16.20243291593023,3.5032451691971045,transient-slab
Li,3.934927263095861e+19,2.9721969969364097,1559682.7823038436,1559682.7823038436,17.174997704445513,3.7135304340567705,transient-slab
Li,4.171124612056533e+19,2.9721969969364097,1653304.0651811124,1653304.0651811124,18.205941519911118,3.9364382504312196,transient-slab
Li,4.421499907374468e+19,2.9721969969364097,1752545.0450294632,1752545.0450294632,19.298768612972083,4.172726297689199,transient-slab
Li,4.6869041923142115e+19,2.9721969969364097,1857743.0489296678,1857743.0489296678,20.45719357989352,4.423197735546829,transient-slab
Li,4.9682395947343675e+19,2.9721969969364097,1969255.6523067413,1969255.6523067413,21.685153988733163,4.68870393406367,transient-slab
Li,5.266462393484259e+19,2.9721969969364097,2087461.8943542042,2087461.8943542042,22.98682376341482,4.97014736751001,transient-slab
Li,5.582586268862678e+19,2.9721969969364097,2212763.5664148377,2212763.5664148377,24.366627371188006,5.268484681940089,transient-slab
Li,5.917685748188806e+19,2.9721969969364097,2345586.577697833,2345586.577697833,25.829254861704584,5.584729946899603,transient-slab
Li,6.272899858196231e+19,2.9721969969364097,2486382.402974176,2486382.402974176,27.3796778088277,5.919958102319467,transient-slab
Li,6.649435996665032e+19,2.9721969969364097,2635629.6171711967,2635629.6171711967,29.023166209361545,6.275308612312373,transient-slab
Li,7.048574036451889e+19,2.9721969969364097,2793835.522082457,2793835.522082457,30.7653063961417,6.651989338291564,transient-slab
Li,7.471670675868067e+19,2.9721969969364097,2961537.8707222757,2961537.8707222757,32.61202002637392,7.051280644576847,transient-slab
Li,7.920164050192541e+19,2.9721969969364097,3139306.695186108,3139306.695186108,34.56958420976406,7.474539750443115,transient-slab
Li,8.395578619995103e+19,2.9721969969364097,3327746.244229782,3327746.244229782,36.64465284485614,7.923205343404244,transient-slab
Li,8.899530352885224e+19,2.9721969969364097,3527497.03715359,3527497.03715359,38.84427923610217,8.39880246941331,transient-slab
Li,9.433732216299774e+19,2.9721969969364097,3739238.0409724973,3739238.0409724973,41.17594006854077,8.902947716601185,transient-slab
Li,1e+20,2.9721969969364097,3963688.9782728557,3963688.9782728557,43.64756082157624,9.437354710173468,transient-slab
Li,1e+18,3.123083101657573,42693.178894820856,42693.178894820856,0.47013101499454996,0.10165042594004967,transient-slab
Li,1.0600258488068824e+18,3.123083101657573,45255.87319624655,45255.87319624655,0.498351028220039,0.10775207903868228,transient-slab
Li,1.1236548001387516e+18,3.123083101657573,47972.39539834789,47972.39539834789,0.5282649716927295,0.11421998904368547,transient-slab
Li,1.191103133283008e+18,3.123083101657573,50851.9791514331,50851.9791514331,0.5599745250135293,0.12107614083674548,transient-slab
Li,1.2626001098748577e+18,3.123083101657573,53904.41236350777,53904.41236350777,0.5935874711876972,0.12834383896073281,transient-slab
Li,1.3383887531737592e+18,3.123083101657573,57140.07047006354,57140.07047006354,0.6292180629868698,0.13604778683348462,transient-slab
Li,1.418726674116599e+18,3.123083101657573,60569.95170091417,60569.95170091417,0.6669874113022789,0.1442141707164623,transient-slab
Li,1.5038869469554132e+18,3.123083101657573,64205.71446395342,64205.71446395342,0.7070238968092035,0.15287074872369863,transient-slab
Li,1.5941590374560028e+18,3.123083101657573,68059.71697290456,68059.71697290456,0.7494636063419255,0.16204694517358229,transient-slab
