electron_density,electron_temperature_ev,heat_flux,ion_current_density,normal_stress,surface_displacement
6.272899858196231e+19,2.101531698522466,1478275.7563127286,100489.68143107014,21.121010538297405,0.0004980451643021978
6.649435996665032e+19,2.101531698522466,1567010.513356036,106521.65985530334,22.38881712351781,0.0005279407480336004
7.048574036451889e+19,2.101531698522466,1661071.649509541,112915.71290443595,23.732724875139034,0.0005596308395540578
7.471670675868067e+19,2.101531698522466,1760778.8852003997,119693.57441515898,25.15730183026947,0.0005932231557167984
7.920164050192541e+19,2.101531698522466,1866471.1323457896,126878.28281615864,26.667390226322336,0.0006288318791705967
8.395578619995103e+19,2.101531698522466,1978507.6463383886,134494.2594373582,28.268122960121687,0.0006665780464746385
8.899530352885224e+19,2.101531698522466,2097269.2471807576,142567.3915197387,29.964941034980317,0.0007065899595103123
9.433732216299774e+19,2.101531698522466,2223159.6139193536,151125.1202078942,31.763612055053194,0.0007490036215883395
1e+20,2.101531698522466,2356606.656778044,160196.53382441515,33.67024982983028,0.0007939631997336085
1e+18,2.2082177399473606,25383.179692971553,1642.1245341746983,0.35379548657279497,8.34269415850251e-06
1.0600258488068824e+18,2.2082177399473606,26906.826599459793,1740.6944531851411,0.375032360958371,8.843471456702843e-06
1.1236548001387516e+18,2.2082177399473606,28521.931704791965,1845.1811152510113,0.3975439967549464,9.37430833729087e-06
1.191103133283008e+18,2.2082177399473606,30233.984864984042,1955.9396778963833,0.4214069125982425,9.937009152214188e-06
1.2626001098748577e+18,2.2082177399473606,32048.805469319137,2073.3466172771737,0.44670222022003964,1.0533486561177602e-05
1.3383887531737592e+18,2.2082177399473606,33972.56222086168,2197.8010078501147,0.47351590015266654,1.1165768032908179e-05
1.418726674116599e+18,2.2082177399473606,36011.79410431352,2329.7258788549393,0.5019390939828853,1.1836002736664245e-05
1.5038869469554132e+18,2.2082177399473606,38173.43261248364,2469.569652220567,0.5320684141485655,1.25464688474131e-05
1.5941590374560028e+18,2.2082177399473606,40464.825306920284,2617.807666782824,0.564006272331165,1.3299581289508179e-05
1.689849786812462e+18,2.2082177399473606,42893.760792790395,2774.943793994628,0.5978612275602488,1.4097899945187039e-05
1.7912844546220096e+18,2.2082177399473606,45468.49519289702,2941.5121506205464,0.6337483552132775,1.4944138355791394e-05
1.898807824465269e+18,2.2082177399473606,48197.78021082231,3118.0789142373023,0.6717896381649201,1.584117294528526e-05
2.0127853758499466e+18,2.2082177399473606,51090.89287858448,3305.2442477112386,0.7121143814154379,1.679205279742263e-05
2.133604526501402e+18,2.2082177399473606,54157.66708992257,3503.6443391941425,0.7548596516074814,1.7800010019797762e-05
2.2616759492228552e+18,2.2082177399473606,57408.52702639574,3713.9535645716996,0.800170742925288,1.8868470730007135e-05
2.3974349678010685e+18,2.2082177399473606,60854.52258990799,3936.8867797144626,0.8482016709598121,2.000106670126363e-05
2.541343036702629e+18,2.2082177399473606,64507.366962104825,4173.201750323417,0.8991156962185909,2.1201647707050052e-05
