material,velocity,magnetic_field,re,ha,interaction,rm,feedback,classification
PbLi,0.01060025848806882,0.818584558354491,2944.5162466857832,885.2796691464209,266.1625975017517,0.0005328271070763177,4.361640421253686e-06,drag-important
PbLi,0.01060025848806882,0.8502218896715226,2944.5162466857832,919.4946881266453,287.13391629091564,0.0005328271070763177,4.530212698466374e-06,drag-important
PbLi,0.01060025848806882,0.8830819666690685,2944.5162466857832,955.0320773866998,309.7575942615902,0.0005328271070763177,4.705300096115449e-06,drag-important
PbLi,0.01060025848806882,0.9172120470309147,2944.5162466857832,991.9429449840719,334.1638230765971,0.0005328271070763177,4.887154415950296e-06,drag-important
PbLi,0.01060025848806882,0.9526612148947965,2944.5162466857832,1030.2803742426179,360.493052379745,0.0005328271070763177,5.0760371915620454e-06,drag-important
PbLi,0.01060025848806882,0.989480451442697,2944.5162466857832,1070.0995000942853,388.8967980363252,0.0005328271070763177,5.272220064507811e-06,drag-important
PbLi,0.01060025848806882,1.0277227082193783,2944.5162466857832,1111.4575883713571,419.53851405598954,0.0005328271070763177,5.475985174971698e-06,drag-important
PbLi,0.01060025848806882,1.067442983284588,2944.5162466857832,1154.4141181632444,452.5945332156404,0.0005328271070763177,5.687625567524411e-06,drag-important
PbLi,0.01060025848806882,1.1086984003084581,2944.5162466857832,1199.0308673562743,488.2550817952941,0.0005328271070763177,5.9074456125649695e-06,drag-important
PbLi,0.01060025848806882,1.1515482907238497,2944.5162466857832,1245.3720014794894,526.725374266388,0.0005328271070763177,6.135761444050672e-06,drag-important
PbLi,0.01060025848806882,1.1960542790537871,2944.5162466857832,1293.5041659842332,568.2267942320893,0.0005328271070763177,6.372901414144801e-06,drag-important
PbLi,0.01060025848806882,1.2422803715366988,2944.5162466857832,1343.4965820902332,612.9981684155241,0.0005328271070763177,6.619206565435922e-06,drag-important
PbLi,0.01060025848806882,1.290293048176919,2944.5162466857832,1395.4211463360216,661.2971410272975,0.0005328271070763177,6.875031121407914e-06,drag-important
PbLi,0.01060025848806882,1.3401613583528338,2944.5162466857832,1449.3525339768655,713.401656421332,0.0005328271070763177,7.140742995866086e-06,drag-important
PbLi,0.01060025848806882,1.3919570201201679,2944.5162466857832,1505.3683063789003,769.6115585712046,0.0005328271070763177,7.4167243220520065e-06,drag-important
PbLi,0.01060025848806882,1.4457545233532292,2944.5162466857832,1563.549022563927,830.2503165714372,0.0005328271070763177,7.703372002208017e-06,drag-important
PbLi,0.01060025848806882,1.5016312368724398,2944.5162466857832,1623.9783550652794,895.6668860934169,0.0005328271070763177,8.001098278381747e-06,drag-important
PbLi,0.01060025848806882,1.5596675197122196,2944.5162466857832,1686.743210261386,966.2377175079971,0.0005328271070763177,8.310331325291576e-06,drag-important
PbLi,0.01060025848806882,1.6199468366892449,2944.5162466857832,1751.9338533600842,1042.3689222308585,0.0005328271070763177,8.631515866105622e-06,drag-important
PbLi,0.01060025848806882,1.682555878437282,2944.5162466857832,1819.6440382134297,1124.4986097572087,0.0005328271070763177,8.965113812019892e-06,drag-important
